canvas_term_id,term_id,name,status,start_date,end_date,grading period
3907,2026~1390*1393,25-26/YL - Wilson STEM Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3903,2026~1414*1417,25-26/YL - Winget Park Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3908,2026~110*113,25-26/YL - Whitewater Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3909,2026~110*111,25-26/S1 - Whitewater Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3910,2026~112*113,25-26/S2 - Whitewater Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3911,2026~1376*1377,25-26/S2 - West Mecklenburg High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3912,2026~1374*1375,25-26/S1 - West Mecklenburg High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3913,2026~1374*1377,25-26/YL - West Mecklenburg High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3914,2026~1358*1361,25-26/YL - West Charlotte High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3917,2026~80*81,25-26/S2 - William Amos Hough High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3954,2026~1166*1169,25-26/YL - Stoney Creek Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3933,2026~1006*1009,25-26/YL - Paw Creek Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3937,2026~1070*1073,25-26/YL - Providence Spring Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3938,2026~1430*1433,25-26/YL - River Gate Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3939,2026~1182*1185,25-26/YL - Shamrock Gardens Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3932,2026~934*937,25-26/YL - South Pine Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3936,2026~1104*1105,25-26/S2 - Randolph IB Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3949,2026~1270*1273,25-26/YL - Sterling Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3951,2026~1110*1111,25-26/S1 - Ranson Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3952,2026~1112*1113,25-26/S2 - Ranson Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3953,2026~1126*1129,25-26/YL - Reedy Creek Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3955,2026~1142*1145,25-26/YL - Ridge Road Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3962,2026~40*41,25-26/S2 - Rea Farms STEAM Academy,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3964,2026~1022*1025,25-26/YL - Piedmont Middle School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3934,2026~1046*1049,25-26/YL - Pineville Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3935,2026~1102*1103,25-26/S1 - Randolph IB Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3950,2026~1110*1113,25-26/YL - Ranson Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3956,2026~1144*1145,25-26/S2 - Ridge Road Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3983,2026~142*143,25-26/S1 - Palisades High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3984,2026~144*145,25-26/S2 - Palisades High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3985,2026~1078*1079,25-26/S1 - Providence High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3987,2026~1078*1081,25-26/YL - Providence High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3988,2026~1214*1215,25-26/S1 - South Mecklenburg High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3942,2026~1254*1257,25-26/YL - Statesville Road Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3943,2026~998*1001,25-26/YL - Palisades Park Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3944,2026~422*425,25-26/YL - Polo Ridge Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3946,2026~1158*1161,25-26/YL - Sedgefield Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3947,2026~1160*1161,25-26/S2 - Sedgefield Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3948,2026~1158*1159,25-26/S1 - Sedgefield Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3945,2026~1206*1209,25-26/YL - Smithfield Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3957,2026~1142*1143,25-26/S1 - Ridge Road Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3958,2026~1230*1233,25-26/YL - South Charlotte Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3959,2026~1230*1231,25-26/S1 - South Charlotte Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3960,2026~1232*1233,25-26/S2 - South Charlotte Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3961,2026~38*39,25-26/S1 - Rea Farms STEAM Academy,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3963,2026~38*41,25-26/YL - Rea Farms STEAM Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3965,2026~1022*1023,25-26/S1 - Piedmont Middle School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3966,2026~1024*1025,25-26/S2 - Piedmont Middle School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3970,2026~1086*1089,25-26/YL - Quail Hollow Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3971,2026~1086*1087,25-26/S1 - Quail Hollow Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3972,2026~1088*1089,25-26/S2 - Quail Hollow Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3977,2026~1198*1199,25-26/S1 - South Academy of International Languages (S.A.I.L.,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3978,2026~1200*1201,25-26/S2 - South Academy of International Languages (S.A.I.L.,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3979,2026~1016*1017,25-26/S2 - Phillip O. Berry Academy of Technology,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3980,2026~1014*1015,25-26/S1 - Phillip O. Berry Academy of Technology,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3658,2026~206*209,25-26/YL - Cochrane Collegiate Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3659,2026~214*217,25-26/YL - Collinswood Language Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3660,2026~214*215,25-26/S1 - Collinswood Language Academy,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3661,2026~216*217,25-26/S2 - Collinswood Language Academy,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3669,2026~166*169,25-26/YL - Carmel Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3670,2026~166*167,25-26/S1 - Carmel Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3671,2026~168*169,25-26/S2 - Carmel Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3662,2026~262*265,25-26/YL - Crestdale Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3663,2026~264*265,25-26/S2 - Crestdale Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3664,2026~262*263,25-26/S1 - Crestdale Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3665,2026~262,25-26/Q1 - Crestdale Middle,active,2025-08-25T00:00:00-04:00,2025-10-31T23:59:00-04:00,279
3666,2026~263,25-26/Q2 - Crestdale Middle,active,2025-11-03T00:00:00-05:00,2026-01-21T23:59:00-05:00,279
3667,2026~264,25-26/Q3 - Crestdale Middle,active,2026-01-22T00:00:00-05:00,2026-04-02T23:59:00-04:00,279
3668,2026~265,25-26/Q4 - Crestdale Middle,active,2026-04-13T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3672,2026~454*457,25-26/YL - Alexander Graham Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3694,2026~1478*1479,25-26/S1 - Elbert Edwin Waddell High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3695,2026~1480*1481,25-26/S2 - Elbert Edwin Waddell High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
